rep,est,se,IRR,IRR_CI_Lower,IRR_CI_Upper,n_event
481,0.65029335943668,0.115143136195799,1.91610285342598,1.52900463666742,2.40120275430257,823
482,0.654736045181484,0.113166199734279,1.92463443379108,1.5417750298138,2.4025669323375,849
483,0.768198758467521,0.109539226261771,2.15587949465501,1.73934015510534,2.67217219232914,829
484,0.716191798823016,0.109809704492653,2.04662439388288,1.65031921504498,2.53809770343267,859
485,0.845886427548829,0.107770677218786,2.33004231311714,1.88638025102251,2.87805026477215,807
486,0.758348301842588,0.113797438236784,2.13474734872115,1.7079766449663,2.66815489327836,774
487,0.650539422465604,0.112497226479631,1.91657439350974,1.53733271296746,2.38937048231209,862
488,0.717498134737073,0.109817474540833,2.04929971988796,1.65245132966761,2.54145418175651,858
489,0.592043211060181,0.115499707443986,1.8076781126121,1.44147651260475,2.2669118298099,857
490,0.753892187126187,0.113120736914518,2.12525583299222,1.70263936865557,2.65277100883315,786
491,0.731837452255631,0.110499085023895,2.07889697433933,1.674079103754,2.5816059827913,838
492,0.737300762033252,0.109936443026762,2.09028571428572,1.68510738730586,2.59288778879104,843
493,0.750345475554061,0.106095623882587,2.11773151471644,1.7201334479392,2.60723188296593,896
494,0.779665612811025,0.106271638082802,2.18074293106635,1.77070368476081,2.68573436217719,873
495,0.831435632783948,0.10659454873568,2.29661346827564,1.86360755757157,2.83022753435175,834
496,0.789252167665356,0.10852285881027,2.20174927113704,1.77988948072834,2.72359599033574,831
497,0.835021688490885,0.105567059930424,2.30486403676758,1.87407284240373,2.83468075935123,848
498,0.937988072379536,0.10374114413973,2.55483609874678,2.08477131076893,3.13088896501182,813
499,0.777421248282019,0.109018399555522,2.17585403726709,1.75724828567539,2.69417863718208,831
500,0.790068827571912,0.106335269513382,2.20354808590104,1.78899771815475,2.71415894922797,865
501,0.661319340627486,0.113204491238533,1.93734666918286,1.55184200381265,2.41861742843188,844
502,0.598864751799022,0.114848199507692,1.82005141701906,1.4531976686473,2.27951587871496,862
503,0.725157400695257,0.110458694271484,2.06505611565532,1.66306508765633,2.56421519064843,843
504,0.733178834079834,0.110507226445087,2.08168744007671,1.67629944105622,2.58511247575352,837
505,0.80785329071186,0.106981756026509,2.24308755760371,1.8187926501137,2.76636360431852,843
506,0.686738769464463,0.11335460477501,1.98722415795587,1.5913263113918,2.48161538315135,825
507,0.704076251092136,0.110332888035205,2.02197802197802,1.62877429262245,2.51010538407967,859
508,0.609430937751642,0.11848815675935,1.83938437669053,1.45819361239599,2.32022336159734,803
509,0.749417350572741,0.110606607838816,2.11576690703567,1.70341044022454,2.62794538485814,825
510,0.681254077045993,0.114647355953728,1.97635467980296,1.57861738073707,2.47430306294697,810
511,0.758303284173144,0.107771802338256,2.13465124953376,1.72818968028504,2.63671054694904,863
512,0.769560229065843,0.109547686842323,2.15881666017907,1.74168094679381,2.67585712575313,828
513,0.799614954700905,0.108026952971017,2.22468415937805,1.80017884359293,2.74929328638794,832
514,0.752004072547538,0.1094394168388,2.12124689233123,1.71173376932403,2.62873144110597,841
515,0.831462087460474,0.105030896344022,2.2966742252457,1.86937717400991,2.82164165169163,859
516,0.696007867168014,0.112128736066638,2.00572956455309,1.61000870022045,2.49871387997561,837
517,0.68470831191408,0.111437429320649,1.98319327731092,1.59407712524106,2.46729315219078,855
518,0.819248616680697,0.10651711139619,2.26879446260338,1.84131301935519,2.79552051141327,843
519,0.681333350897555,0.113322379821648,1.97651135926069,1.58284770199866,2.46808151431984,829
520,0.733560397505249,0.108750659338271,2.08248188742337,1.68272250745268,2.57721091400352,864
521,0.736067480284726,0.109342676613452,2.08770939205722,1.68499024108929,2.5866799696515,853
522,0.653525391091048,0.110644221524223,1.9223057771245,1.54754019873723,2.38782779522075,889
523,0.843773006543799,0.104602316237903,2.32512315270943,1.89412356717804,2.85419482073172,858
524,0.693900760098245,0.111491579614028,2.0015077271014,1.60862741719184,2.49034247385878,848
525,0.715234902573237,0.111619084416554,2.04466692337313,1.64290417987035,2.54467842906458,832
526,0.805436857800229,0.103865451556184,2.2376738305942,1.82551896959664,2.74288257504796,896
527,0.732910413731959,0.111726689844433,2.08112874779542,1.67184887619215,2.59060309013404,819
528,0.715939635033884,0.112884661085835,2.04610837438424,1.63998937785695,2.5527967048153,813
529,0.764650984575282,0.107258900561623,2.14824447334201,1.74094383914823,2.65083468717887,867
530,0.705380882718802,0.110340601077354,2.02461767997016,1.6308759752161,2.51342027986194,858
531,0.67172111638727,0.111361724536559,1.95760368663595,1.57374188051422,2.4350957684868,865
532,0.587221853957904,0.116889700380253,1.79898362735663,1.43064050709228,2.26216304896536,840
533,0.57476719940624,0.116105421858727,1.77671685802523,1.41510644463071,2.23073169199992,860
534,0.685369468962959,0.11206563424588,1.98450491307634,1.59316859771779,2.47196671819021,845
535,0.643912760557229,0.111825715006089,1.90391589111186,1.52919031065208,2.3704673611766,877
536,0.80295101202352,0.108609286027917,2.232118226601,1.80413404467249,2.76163059626141,821
537,0.634348024979198,0.116444743917632,1.88579225113126,1.50098344114989,2.36925492775745,815
538,0.55736889010039,0.116723825265593,1.74607234296315,1.3890143521526,2.19491513686382,863
539,0.547507190826127,0.117396981550965,1.72893772967345,1.37357019937265,2.17624528724752,860
540,0.613925711666397,0.117042124713503,1.84767060201025,1.46891989080137,2.32407953279907,820
541,0.790207899959315,0.109677337934894,2.20385455990464,1.77756467549888,2.73237592317105,813
